club,Head Coach,FA Cup Final Appearances,short_name,league_position
Luton Town F.C.,Rob Edwards,1.0,LTN,18
Tottenham Hotspur F.C.,Ange Postecoglou,9.0,TOT,5
Nottingham Forest F.C.,Nuno Espírito Santo,3.0,NFO,17
AFC Bournemouth,Andoni Iraola,0.0,BOU,12
Chelsea F.C.,Enzo Maresca,16.0,CHE,6
Aston Villa F.C.,Unai Emery,11.0,AVL,4
Brentford F.C.,Thomas Frank,0.0,BRE,16
Manchester City F.C.,Pep Guardiola,12.0,MCI,1
Everton F.C.,Sean Dyche,13.0,EVE,15
Crystal Palace F.C.,Oliver Glasner,2.0,CRY,10
Manchester United F.C.,Erik ten Hag,21.0,MUN,8
West Ham United F.C.,Julen Lopetegui,5.0,WHU,9
Brighton & Hove Albion F.C.,Fabian Hürzeler,1.0,BHA,11
Burnley F.C.,0,3.0,BUR,19
Liverpool F.C.,Arne Slot,15.0,LIV,3
Arsenal F.C.,Mikel Arteta,21.0,ARS,2
Fulham F.C.,Marco Silva,1.0,FUL,13
Newcastle United F.C.,Eddie Howe,13.0,NEW,7
Wolverhampton Wanderers F.C.,Gary O'Neil,8.0,WOL,14
Sheffield United F.C.,Chris Wilder,6.0,SHU,20
