item,itemLabel,participating_team,participating_teamLabel
http://www.wikidata.org/entity/Q4484479,1915 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4484490,1948 FA Cup Final,http://www.wikidata.org/entity/Q19449,Blackpool F.C.
http://www.wikidata.org/entity/Q4581017,1983 FA Cup Final,http://www.wikidata.org/entity/Q19453,Brighton & Hove Albion F.C.
http://www.wikidata.org/entity/Q117705635,2023 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q16323089,2014 FA Cup Final,http://www.wikidata.org/entity/Q19477,Hull City A.F.C.
http://www.wikidata.org/entity/Q1083726,2009 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4566546,1949 FA Cup Final,http://www.wikidata.org/entity/Q19481,Leicester City F.C.
http://www.wikidata.org/entity/Q4484514,1985 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q3110441,2001 FA Cup Final,http://www.wikidata.org/entity/Q1130849,Liverpool F.C.
http://www.wikidata.org/entity/Q117705635,2023 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q1083726,2009 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4484490,1948 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q4484514,1985 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q3110441,2001 FA Cup Final,http://www.wikidata.org/entity/Q9617,Arsenal F.C.
http://www.wikidata.org/entity/Q4558224,1904 FA Cup Final,http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.
http://www.wikidata.org/entity/Q4558224,1904 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q648465,2002 FA Cup Final,http://www.wikidata.org/entity/Q9617,Arsenal F.C.
http://www.wikidata.org/entity/Q4562419,1929 FA Cup Final,http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.
http://www.wikidata.org/entity/Q4562419,1929 FA Cup Final,http://www.wikidata.org/entity/Q19604,Portsmouth F.C.
http://www.wikidata.org/entity/Q16323089,2014 FA Cup Final,http://www.wikidata.org/entity/Q9617,Arsenal F.C.
http://www.wikidata.org/entity/Q1413320,1901 FA Cup Final,http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.
http://www.wikidata.org/entity/Q1413332,1981 FA Cup Final,http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.
http://www.wikidata.org/entity/Q30973820,2018 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4555692,1879 FA Cup Final,http://www.wikidata.org/entity/Q2074788,Clapham Rovers F.C.
http://www.wikidata.org/entity/Q1415494,1962 FA Cup Final,http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.
http://www.wikidata.org/entity/Q4555493,1875 FA Cup Final,http://www.wikidata.org/entity/Q1430983,Old Etonians F.C.
http://www.wikidata.org/entity/Q4555692,1879 FA Cup Final,http://www.wikidata.org/entity/Q1430983,Old Etonians F.C.
http://www.wikidata.org/entity/Q4555813,1881 FA Cup Final,http://www.wikidata.org/entity/Q1430983,Old Etonians F.C.
http://www.wikidata.org/entity/Q111648597,2022 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4572290,1966 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q30973820,2018 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q4484487,1936 FA Cup Final,http://www.wikidata.org/entity/Q9617,Arsenal F.C.
http://www.wikidata.org/entity/Q4484479,1915 FA Cup Final,http://www.wikidata.org/entity/Q19607,Sheffield United F.C.
http://www.wikidata.org/entity/Q4484487,1936 FA Cup Final,http://www.wikidata.org/entity/Q19607,Sheffield United F.C.
http://www.wikidata.org/entity/Q4559167,1910 FA Cup Final,http://www.wikidata.org/entity/Q19442,Barnsley F.C.
http://www.wikidata.org/entity/Q738766,1997 FA Cup Final,http://www.wikidata.org/entity/Q18661,Middlesbrough F.C.
http://www.wikidata.org/entity/Q4484495,1963 FA Cup Final,http://www.wikidata.org/entity/Q19481,Leicester City F.C.
http://www.wikidata.org/entity/Q4565982,1947 FA Cup Final,http://www.wikidata.org/entity/Q19462,Charlton Athletic F.C.
http://www.wikidata.org/entity/Q4555813,1881 FA Cup Final,http://www.wikidata.org/entity/Q535647,Old Carthusians F.C.
http://www.wikidata.org/entity/Q1413332,1981 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q4572290,1966 FA Cup Final,http://www.wikidata.org/entity/Q19498,Sheffield Wednesday F.C.
http://www.wikidata.org/entity/Q4562832,1931 FA Cup Final,http://www.wikidata.org/entity/Q19444,Birmingham City F.C.
http://www.wikidata.org/entity/Q4559167,1910 FA Cup Final,http://www.wikidata.org/entity/Q18716,Newcastle United F.C.
http://www.wikidata.org/entity/Q4559327,1911 FA Cup Final,http://www.wikidata.org/entity/Q18716,Newcastle United F.C.
http://www.wikidata.org/entity/Q4120865,1987 FA Cup Final,http://www.wikidata.org/entity/Q18741,Tottenham Hotspur F.C.
http://www.wikidata.org/entity/Q4565982,1947 FA Cup Final,http://www.wikidata.org/entity/Q19458,Burnley F.C.
http://www.wikidata.org/entity/Q4566546,1949 FA Cup Final,http://www.wikidata.org/entity/Q19500,Wolverhampton Wanderers F.C.
http://www.wikidata.org/entity/Q10858415,1900 FA Cup Final,http://www.wikidata.org/entity/Q19573,Bury F.C.
http://www.wikidata.org/entity/Q10858419,1969 FA Cup Final,http://www.wikidata.org/entity/Q19481,Leicester City F.C.
http://www.wikidata.org/entity/Q10858410,1891 FA Cup Final,http://www.wikidata.org/entity/Q19598,Notts County F.C.
http://www.wikidata.org/entity/Q738766,1997 FA Cup Final,http://www.wikidata.org/entity/Q9616,Chelsea F.C.
http://www.wikidata.org/entity/Q4484507,1976 FA Cup Final,http://www.wikidata.org/entity/Q18732,Southampton F.C.
http://www.wikidata.org/entity/Q4584445,1988 FA Cup Final,http://www.wikidata.org/entity/Q1130849,Liverpool F.C.
http://www.wikidata.org/entity/Q125108378,2024 FA Cup Final,,
http://www.wikidata.org/entity/Q4561885,1926 FA Cup Final,http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.
http://www.wikidata.org/entity/Q4561885,1926 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q111648597,2022 FA Cup Final,http://www.wikidata.org/entity/Q1130849,Liverpool F.C.
http://www.wikidata.org/entity/Q4563218,1933 FA Cup Final,http://www.wikidata.org/entity/Q50602,Manchester City F.C.
http://www.wikidata.org/entity/Q4563218,1933 FA Cup Final,http://www.wikidata.org/entity/Q5794,Everton F.C.
http://www.wikidata.org/entity/Q4584445,1988 FA Cup Final,http://www.wikidata.org/entity/Q19482,Wimbledon F.C.
http://www.wikidata.org/entity/Q4484478,1909 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q4484495,1963 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
http://www.wikidata.org/entity/Q4484507,1976 FA Cup Final,http://www.wikidata.org/entity/Q18656,Manchester United F.C.
